record_id,date,record_type,market,sector,owned_site_status,diagnostic_score,score_status,schema_status,llms_txt_status,sitemap_status,entity_clarity,service_content,local_profile,conversion_path,primary_gap,evidence_file
AV-001,2026-03,scored_baseline,Budapest Hungary,Facility management,weak,16,historical BridgeWorks diagnostic,missing or weak,missing,missing or incomplete,partial,weak,unverified,weak,Digital operating capability was not represented in structured discoverable form,clients/ceefm/VERIFIED-FACTS.md
AV-002,2026-06-11,scored_audit,Budapest Hungary,Consumer beverage brand,live,44,BridgeWorks diagnostic,near absent,missing,incomplete,founder not structured,thin,not confirmed,partial,Strong offline authority was disconnected from crawl entity and answer-ready signals,clients/misisgin/GEO-AUDIT-misisgin.md
AV-003,2026-06-11,scored_audit,Nigeria online,Education,intermittently unreachable,20,BridgeWorks diagnostic,missing,missing,missing,founder not structured,course expertise not citable,missing,unclear,Site access failure plus absent discovery and entity infrastructure,clients/universityofpatterndrafting/reports/GEO-AUDIT-REPORT-universityofpatterndrafting-2026-06-11.md
AV-004,2026-06-12,scored_audit,Bucharest Romania,HR consulting,live,25,BridgeWorks diagnostic,missing,missing,English pages incomplete,anonymous leadership,generic or stale,unverified,partial,Real client proof and services lacked named expertise and machine-readable structure,reports/geo-audits/GEO-AUDIT-hrtime-ro-2026-06-12.md
AV-005,2026-06-23,scored_audit,Prague Czechia,Architecture,live,19,BridgeWorks diagnostic,missing,missing,present with test content,founder credentials not connected,project pages thin,not observed,partial,Thirty-plus years of portfolio proof was concentrated in one page and absent from structured signals,reports/geo-audits/GEO-AUDIT-marani-architects-cz-2026-06-23.md
AV-006,2026-06-23,scored_audit,Warsaw Poland,Financial advice,live,41,BridgeWorks diagnostic,missing,missing,present,person and location not structured,strong but under-signalled,not observed,partial,Strong niche content lacked structured author location freshness and service identity,reports/geo-audits/GEO-AUDIT-rossnaylor-pl-2026-06-23.md
AV-007,2026-07-14,public_mini_scan,Lagos Nigeria,Dental clinic,no independent domain located,,not scored,not tested,not tested,not tested,fragmented,missing controlled treatment content,third-party proof,phone only,Strong public reputation lacked a controlled patient information and booking source,operations/client-acquisition-engine/scans/dental-de-classique-mini-scan-2026-07-14.md
AV-008,2026-07-14,public_mini_scan,Budapest Hungary,Dental and aesthetic clinic,no independent domain located,,not scored,not tested,not tested,not tested,fragmented,missing controlled treatment content,third-party proof,phone only,Directory and award proof lacked a controlled multilingual treatment and booking source,operations/client-acquisition-engine/scans/nimaz-aesthetic-mini-scan-2026-07-14.md
AV-009,2026-07-14,public_mini_scan,Warsaw Poland,Real estate rental agency,no independent domain located,,not scored,not tested,not tested,not tested,fragmented,missing controlled service content,third-party proof,platform message only,Marketplace activity lacked an owned multilingual owner and renter destination,operations/client-acquisition-engine/scans/moso-agency-mini-scan-2026-07-14.md
AV-010,2026-07-14,implementation_verification,Budapest Hungary,Restaurant,legacy root plus new preview,,not scored,built on preview,present on preview,built locally not deployed,clear on preview,clear menu and business content,partial,shop and WhatsApp routes present,Written approval root cutover retention proof and final platform evidence remain open,clients/oliviks/evidence/metrics/OLIVIKS-DELIVERY-VERIFICATION-2026-07-14.md

